FS - result of full search for any attachments reference in (), needs manual editing
RP - will repeat search, file probably moved already
OK - reference updated and file moved
NO - matched in 1st loop, no match in 2nd, needs manual editing
OK {'file': 'build-api.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\', 'line No.': 20, 'match': 'attachments/deploy-api/api-model.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/build-api/api-model.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/build-api/api-model.png'}
RP {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\deploy-api\\', 'line No.': 21, 'match': 'attachments/deploy-api/api-model.png)'}
OK {'file': 'design-properties.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\', 'line No.': 116, 'match': 'attachments/design-properties/design_property_toggle_studio_pro.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/design-properties/design_property_toggle_studio_pro.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/design-properties/design_property_toggle_studio_pro.png'}
OK {'file': 'design-properties.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\', 'line No.': 140, 'match': 'attachments/design-properties/design_property_dropdown_studio_pro.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/design-properties/design_property_dropdown_studio_pro.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/design-properties/design_property_dropdown_studio_pro.png'}
OK {'file': 'design-properties.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\', 'line No.': 142, 'match': 'attachments/design-properties/design_property_dropdown_open_studio_pro.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/design-properties/design_property_dropdown_open_studio_pro.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/design-properties/design_property_dropdown_open_studio_pro.png'}
OK {'file': 'feedback-api.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\', 'line No.': 14, 'match': 'attachments/9535499/19398864.wsdl)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/feedback-api/19398864.wsdl)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/feedback-api/19398864.wsdl'}
OK {'file': 'permissions-api.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\', 'line No.': 56, 'match': 'attachments/18449570/18582265.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/permissions-api/18582265.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/permissions-api/18582265.png'}
OK {'file': 'pluggable-widgets-property-types.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\', 'line No.': 93, 'match': 'attachments/pluggable-widgets/property-types/string.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-property-types/string.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-property-types/string.png'}
OK {'file': 'pluggable-widgets-property-types.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\', 'line No.': 106, 'match': 'attachments/pluggable-widgets/property-types/string-multiline.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-property-types/string-multiline.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-property-types/string-multiline.png'}
OK {'file': 'pluggable-widgets-property-types.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\', 'line No.': 133, 'match': 'attachments/pluggable-widgets/property-types/boolean.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-property-types/boolean.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-property-types/boolean.png'}
OK {'file': 'pluggable-widgets-property-types.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\', 'line No.': 160, 'match': 'attachments/pluggable-widgets/property-types/integer.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-property-types/integer.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-property-types/integer.png'}
