FS - result of full search for any attachments reference in (), needs manual editing
RP - will repeat search, file probably moved already
OK - reference updated and file moved
NO - matched in 1st loop, no match in 2nd, needs manual editing
OK {'file': 'apm-1.6.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\add-ons\\\\apd\\apm-1\\', 'line No.': 15, 'match': 'attachments/1.6/Microflow_Trend.png)', 'newInsert': '/attachments/releasenotes/add-ons/apd/apm-1/apm-1.6/Microflow_Trend.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/add-ons/apd/apm-1/apm-1.6/Microflow_Trend.png'}
OK {'file': 'apm-1.7.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\add-ons\\\\apd\\apm-1\\', 'line No.': 25, 'match': 'attachments/1.7/Welcome.png)', 'newInsert': '/attachments/releasenotes/add-ons/apd/apm-1/apm-1.7/Welcome.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/add-ons/apd/apm-1/apm-1.7/Welcome.png'}
OK {'file': 'apm-1.7.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\add-ons\\\\apd\\apm-1\\', 'line No.': 39, 'match': 'attachments/1.7/Console.png)', 'newInsert': '/attachments/releasenotes/add-ons/apd/apm-1/apm-1.7/Console.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/add-ons/apd/apm-1/apm-1.7/Console.png'}
OK {'file': 'apm-1.7.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\add-ons\\\\apd\\apm-1\\', 'line No.': 45, 'match': 'attachments/1.7/Settings.png)', 'newInsert': '/attachments/releasenotes/add-ons/apd/apm-1/apm-1.7/Settings.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/add-ons/apd/apm-1/apm-1.7/Settings.png'}
OK {'file': 'apm-1.8.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\add-ons\\\\apd\\apm-1\\', 'line No.': 15, 'match': 'attachments/1.8/Console.png)', 'newInsert': '/attachments/releasenotes/add-ons/apd/apm-1/apm-1.8/Console.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/add-ons/apd/apm-1/apm-1.8/Console.png'}
OK {'file': 'apm-1.8.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\add-ons\\\\apd\\apm-1\\', 'line No.': 28, 'match': 'attachments/1.8/Trap_View.png)', 'newInsert': '/attachments/releasenotes/add-ons/apd/apm-1/apm-1.8/Trap_View.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/add-ons/apd/apm-1/apm-1.8/Trap_View.png'}
OK {'file': 'apm-1.8.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\add-ons\\\\apd\\apm-1\\', 'line No.': 30, 'match': 'attachments/1.8/Statistics_Tool.png)', 'newInsert': '/attachments/releasenotes/add-ons/apd/apm-1/apm-1.8/Statistics_Tool.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/add-ons/apd/apm-1/apm-1.8/Statistics_Tool.png'}
OK {'file': 'apm-1.8.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\add-ons\\\\apd\\apm-1\\', 'line No.': 43, 'match': 'attachments/1.8/Traps.png)', 'newInsert': '/attachments/releasenotes/add-ons/apd/apm-1/apm-1.8/Traps.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/add-ons/apd/apm-1/apm-1.8/Traps.png'}
OK {'file': 'apm-1.9.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\add-ons\\\\apd\\apm-1\\', 'line No.': 11, 'match': 'attachments/1.9/Dashboard_1.9.0.png)', 'newInsert': '/attachments/releasenotes/add-ons/apd/apm-1/apm-1.9/Dashboard_1.9.0.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/add-ons/apd/apm-1/apm-1.9/Dashboard_1.9.0.png'}
OK {'file': 'ats-2.10.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\add-ons\\\\ats\\ats-2\\', 'line No.': 30, 'match': 'attachments/ats/browserstack.png)', 'newInsert': '/attachments/releasenotes/add-ons/ats/ats-2/ats-2.10/browserstack.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/add-ons/ats/ats-2/ats-2.10/browserstack.png'}
OK {'file': 'ats-2.10.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\add-ons\\\\ats\\ats-2\\', 'line No.': 37, 'match': 'attachments/ats/lookup.gif)', 'newInsert': '/attachments/releasenotes/add-ons/ats/ats-2/ats-2.10/lookup.gif)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/add-ons/ats/ats-2/ats-2.10/lookup.gif'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\developer-portal\\', 'line No.': 89, 'match': 'attachments/mendixcloud.com-2021-10-29.crt.txt)', 'newInsert': '/attachments/releasenotes/developer-portal/mendixcloud.com-2021-10-29.crt.txt)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/developer-portal/mendixcloud.com-2021-10-29.crt.txt'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\developer-portal\\', 'line No.': 694, 'match': 'attachments/shop.png)', 'newInsert': '/attachments/releasenotes/developer-portal/shop.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/developer-portal/shop.png'}
OK {'file': 'mendix-cloud.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\deployment\\', 'line No.': 632, 'match': 'attachments/mendixcloud.com-2019-09-12.crt.txt)', 'newInsert': '/attachments/releasenotes/deployment/mendix-cloud/mendixcloud.com-2019-09-12.crt.txt)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/deployment/mendix-cloud/mendixcloud.com-2019-09-12.crt.txt'}
OK {'file': 'mendix-cloud.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\deployment\\', 'line No.': 928, 'match': 'attachments/CPHealthIcon.png)', 'newInsert': '/attachments/releasenotes/deployment/mendix-cloud/CPHealthIcon.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/deployment/mendix-cloud/CPHealthIcon.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\mx-world-2021\\', 'line No.': 17, 'match': 'attachments/index/innovations.png)', 'newInsert': '/attachments/releasenotes/mx-world-2021/innovations.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/mx-world-2021/innovations.png'}
OK {'file': '7.11-7.23.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 42, 'match': 'attachments/7.11-7.23/Validation-type-required.png)', 'newInsert': '/attachments/releasenotes/studio/7.11-7.23/Validation-type-required.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/7.11-7.23/Validation-type-required.png'}
OK {'file': '7.11-7.23.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 46, 'match': 'attachments/7.11-7.23/sort-order.png)', 'newInsert': '/attachments/releasenotes/studio/7.11-7.23/sort-order.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/7.11-7.23/sort-order.png'}
OK {'file': '7.11-7.23.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 67, 'match': 'attachments/7.11-7.23/six-columns.png)', 'newInsert': '/attachments/releasenotes/studio/7.11-7.23/six-columns.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/7.11-7.23/six-columns.png'}
OK {'file': '7.11-7.23.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 72, 'match': 'attachments/7.11-7.23/error-message-delete-behavior.png)', 'newInsert': '/attachments/releasenotes/studio/7.11-7.23/error-message-delete-behavior.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/7.11-7.23/error-message-delete-behavior.png'}
OK {'file': '7.11-7.23.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 118, 'match': 'attachments/7.11-7.23/quick-config.gif)', 'newInsert': '/attachments/releasenotes/studio/7.11-7.23/quick-config.gif)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/7.11-7.23/quick-config.gif'}
OK {'file': '7.11-7.23.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 160, 'match': 'attachments/7.11-7.23/filter-validation.png)', 'newInsert': '/attachments/releasenotes/studio/7.11-7.23/filter-validation.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/7.11-7.23/filter-validation.png'}
OK {'file': '7.11-7.23.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 184, 'match': 'attachments/7.11-7.23/preview.png)', 'newInsert': '/attachments/releasenotes/studio/7.11-7.23/preview.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/7.11-7.23/preview.png'}
OK {'file': '7.11-7.23.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 188, 'match': 'attachments/7.11-7.23/filter-example.png)', 'newInsert': '/attachments/releasenotes/studio/7.11-7.23/filter-example.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/7.11-7.23/filter-example.png'}
OK {'file': '7.11-7.23.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 222, 'match': 'attachments/7.11-7.23/data-grid-example.png)', 'newInsert': '/attachments/releasenotes/studio/7.11-7.23/data-grid-example.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/7.11-7.23/data-grid-example.png'}
OK {'file': '7.11-7.23.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 238, 'match': 'attachments/7.11-7.23/pre-fill-page-contents.png)', 'newInsert': '/attachments/releasenotes/studio/7.11-7.23/pre-fill-page-contents.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/7.11-7.23/pre-fill-page-contents.png'}
OK {'file': '7.11-7.23.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 267, 'match': 'attachments/7.11-7.23/wm-create-object-option.png)', 'newInsert': '/attachments/releasenotes/studio/7.11-7.23/wm-create-object-option.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/7.11-7.23/wm-create-object-option.png'}
OK {'file': '7.11-7.23.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 292, 'match': 'attachments/7.11-7.23/input-widget-example.png)', 'newInsert': '/attachments/releasenotes/studio/7.11-7.23/input-widget-example.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/7.11-7.23/input-widget-example.png'}
OK {'file': '7.11-7.23.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 324, 'match': 'attachments/7.11-7.23/wm-hide-on-setting.png)', 'newInsert': '/attachments/releasenotes/studio/7.11-7.23/wm-hide-on-setting.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/7.11-7.23/wm-hide-on-setting.png'}
OK {'file': '7.11-7.23.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 333, 'match': 'attachments/7.11-7.23/wm-text-category.png)', 'newInsert': '/attachments/releasenotes/studio/7.11-7.23/wm-text-category.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/7.11-7.23/wm-text-category.png'}
OK {'file': '7.11-7.23.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 357, 'match': 'attachments/7.11-7.23/wm-breadcrumb-sub-widgets.png)', 'newInsert': '/attachments/releasenotes/studio/7.11-7.23/wm-breadcrumb-sub-widgets.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/7.11-7.23/wm-breadcrumb-sub-widgets.png'}
OK {'file': '7.11-7.23.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 432, 'match': 'attachments/7.11-7.23/wm-improved-styling.png)', 'newInsert': '/attachments/releasenotes/studio/7.11-7.23/wm-improved-styling.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/7.11-7.23/wm-improved-styling.png'}
OK {'file': '7.11-7.23.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 449, 'match': 'attachments/7.11-7.23/wm-list-view-page-size.png)', 'newInsert': '/attachments/releasenotes/studio/7.11-7.23/wm-list-view-page-size.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/7.11-7.23/wm-list-view-page-size.png'}
OK {'file': '7.11-7.23.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 454, 'match': 'attachments/7.11-7.23/wm-publish-dialog-box.png)', 'newInsert': '/attachments/releasenotes/studio/7.11-7.23/wm-publish-dialog-box.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/7.11-7.23/wm-publish-dialog-box.png'}
OK {'file': '7.11-7.23.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 471, 'match': 'attachments/7.11-7.23/wm-rearranging-attributes.gif)', 'newInsert': '/attachments/releasenotes/studio/7.11-7.23/wm-rearranging-attributes.gif)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/7.11-7.23/wm-rearranging-attributes.gif'}
OK {'file': '7.11-7.23.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 494, 'match': 'attachments/7.11-7.23/wm-example-of-the-expression-editor.png)', 'newInsert': '/attachments/releasenotes/studio/7.11-7.23/wm-example-of-the-expression-editor.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/7.11-7.23/wm-example-of-the-expression-editor.png'}
OK {'file': '7.11-7.23.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 559, 'match': 'attachments/7.11-7.23/wm-add-attribute-input-widgets.png)', 'newInsert': '/attachments/releasenotes/studio/7.11-7.23/wm-add-attribute-input-widgets.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/7.11-7.23/wm-add-attribute-input-widgets.png'}
OK {'file': '7.11-7.23.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 575, 'match': 'attachments/7.11-7.23/wm-select-page-dialog.png)', 'newInsert': '/attachments/releasenotes/studio/7.11-7.23/wm-select-page-dialog.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/7.11-7.23/wm-select-page-dialog.png'}
OK {'file': '8.0-8.6.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 47, 'match': 'attachments/8.0/copy-paste-page.gif)', 'newInsert': '/attachments/releasenotes/studio/8.0-8.6/copy-paste-page.gif)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/8.0-8.6/copy-paste-page.gif'}
OK {'file': '8.0-8.6.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 67, 'match': 'attachments/8.0/duplicate-and-delete.png)', 'newInsert': '/attachments/releasenotes/studio/8.0-8.6/duplicate-and-delete.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/8.0-8.6/duplicate-and-delete.png'}
OK {'file': '8.0-8.6.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 73, 'match': 'attachments/8.0/column-width.png)', 'newInsert': '/attachments/releasenotes/studio/8.0-8.6/column-width.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/8.0-8.6/column-width.png'}
OK {'file': '8.0-8.6.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 77, 'match': 'attachments/8.0/align-vertically.gif)', 'newInsert': '/attachments/releasenotes/studio/8.0-8.6/align-vertically.gif)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/8.0-8.6/align-vertically.gif'}
